How do I programmatically compile Java class?:	7989365 21544850 2946374 19994799 12554299 470826 17526282 12246348 470797 2946402 
How do I create temporary file?:	16691530 16691509 12643946 38878033 3862109 43975187 1305966 817423 17123102 2903813 
How do I read entries in a zip or compressed file?:	3048744 1533321 11287779 40543167 1058174 8830967 4722238 4169546 46218287 36396066 
How do I get information regarding class name?:	13335004 30547508 11111393 27193747 17529655 33849975 13310584 20925261 45134405 27924603 
How do I read Excel file?:	50231382 30889793 23009952 42388131 37207729 16199142 3413951 18013104 7148372 12855380 
How do I convert Map into JSON?:	35349852 12819776 11240607 21545023 25288414 29340696 44390770 48245094 45982024 40882429 
How do I shuffle elements of an array?:	29684494 26947457 20799911 18470174 16112539 24411621 38957563 33701567 37634313 30638523 
How do I get the state of a thread?:	5908828 5908842 5919871 5908824 34828920 26963416 23007536 6451182 9076128 46863595 
How do I convert milliseconds value to date?:	4142405 26119193 7953839 4142428 18975660 16520928 28059616 19965519 39393400 9027387 
How do I launch user default mail client application?:	25883557 1239004 23817270 23487130 21651897 980803 2081372 2458653 17424149 43142417 
How do I get printer or print service name?:	1097593 14501272 14501234 27854339 14501228 35535726 10108339 45434237 7999825 1662852 
How do I get the available font names?:	13078469 24278825 28787211 21091983 10630798 375632 5924416 17215863 11592041 29583748 
How do I create a console progress bar?:	43512988 15846788 31771301 1001340 40706566 20328010 44742270 13367595 38464688 1322785 
How do I detect non-ASCII characters in string?:	21475037 8519863 37208929 17794021 2485878 34827472 5008450 17640632 12013465 21478020 
How do I sort file names by their extension?:	46800662 440472 440449 7103523 42694606 20180857 18451058 34116142 20180856 12771571 
How do I rotate elements of a collection?:	14566170 993177 993069 18330087 32247759 27814247 3589038 2998888 27813883 13433380 
How do I convert Properties into Map?:	8036375 36949952 30227991 16342982 17331580 8036613 27724276 44283919 50247701 45207827 
How do I calculate logarithm?:	6827576 13831166 7982137 745984 25414163 5535039 31592833 739559 31571118 2887208 
How do I get the username of operating system active user?:	24715283 44544008 10008565 2469658 797569 46480011 32956924 2269242 47235441 12017880 
How do I convert a Vector into an array?:	7500382 7500279 10530405 10530407 4400686 41657929 8375503 4400693 4400662 5466639 
How do I read or download web page content?:	48643565 34118036 34312506 9826027 9826018 7128149 7138410 7138397 49329418 42033369 
How do I remove some characters from a StringBuffer?:	33880939 43108102 26948618 4245480 4494965 23129345 10439513 36997662 37900815 4245485 
How do I get today date and time?:	22195159 31919380 24817132 34180032 49717345 22195169 27498772 12319431 6850919 9629865 
Using Images in an Applet:	30610852 9179732 22278811 8422427 24969273 11911171 14928460 7440440 5607801 28413724 
Converting Between a Byte Array and Base64:	17579450 36791309 43751742 30121795 12300654 36255743 11612907 7508781 2945175 33152818 
