How do I compress or zip a directory recursively?:	16646691 23346890 10433332 24642072 40543167 8631463 6514188 45972988 9257957 981731 
How do I compress a file in GZip format?:	19044965 34305182 26358167 19044753 38859200 36224729 25310791 46299356 14467099 32740232 
How do I parse a text string into date and time?:	17119745 44699724 25872811 34815228 25524508 13967715 26564246 19492462 31717693 13453734 
How do I send an HTML email?:	13455424 8652065 3706474 12507532 47748839 23013512 29127693 13528347 2829339 2049912 
Creating MySql database programatically in Java:	19009327 25333505 43149999 17204796 35435393 30186724 29957898 13648006 38024502 48921151 
How do I calculate the MD5 digest of a string?:	5470279 5470268 48421874 951782 13412049 50226113 48507508 8396600 4400809 41461544 
How to implement the hashCode and equals method using Apache Commons?:	25614656 25184301 18991304 5039178 26216347 13178804 22411032 17265747 22411050 17801750 
How do I move a file in JDK 7?:	21076728 37477895 23812941 45033203 27773662 5451161 4645271 34733852 44426414 9800175 
How to recursively list all text files in a directory?:	1455441 13444760 30955348 29972265 15291433 13544215 28603067 44713656 8631463 6514188 
How do I copy a file in JDK 7?:	8147459 25309586 20174491 14464653 35371886 24471207 44092201 18747379 24391464 37417323 
How do I reverse the order of array elements?:	2137766 30740839 35660201 40992322 45068373 423602 20518277 13827788 18073639 14988057 
How do I get all available currency codes?:	3537085 14685495 13391761 9777945 2544488 10691800 7751593 37496913 45470695 39951757 
How do I delete entity object in JPA?:	29142176 17455274 33545406 30019803 2778070 811352 7825817 42305536 31281000 13837495 
How to create an XML file of a POJO using JAXB?:	25656014 25321858 48152543 8578030 13315642 3885623 6968808 7081390 12142878 5780012 
How do I retrieve available schemas in database?:	25640847 14580050 25180655 17301990 3751051 22368314 3496383 20565182 9675752 23289220 
How do I convert raw IP address to String?:	9286956 2753176 9341037 17267758 39730813 6026452 2462433 2477788 12947465 34881294 
How do I breaks a paragraph into sentences?:	21430737 39580775 21430792 20172593 6514989 20972746 14785527 9675460 9493264 35894342 
How do I get JDBC driver property information?:	15180849 15852220 10528230 6665818 25867522 35147321 40729242 27290753 3377222 3816050 
How do I get list of files from FTP server?:	14467304 14200271 14200254 44839455 47408280 4756241 6041874 28874394 23768745 14200202 
How do I create an Excel document using Apache POI?:	26894741 35695907 6912008 15473663 38981133 16423728 21978362 19809118 19809861 35301939 
Redirect Servlet Call to Another URL:	32897323 16244524 13619289 961179 40541209 19972143 36423878 30337482 9800673 11260891 
building lucene search query:	39869831 11791653 8253126 33442420 25293986 25844952 20209326 9084178 13218498 13620348 
how to serialize JSON Object:	8725397 33292415 43389537 20542508 10835504 16607559 27893385 18795009 12156646 31360916 
How to Sort a Map by values:	6584631 33801276 44739950 32891575 14795215 29739219 12919770 8036079 109389 37224771 
How to Load an image and write text to it:	6540798 17802477 34855858 982803 7894297 10929569 50651161 3340263 15868559 22110729 
Read file as bytes:	31600630 9588458 23533769 27124142 35251851 10618748 858991 21303540 9588409 14381961 
Copy a Directory recursively:	29801090 20085222 34254130 26214647 30391873 29117858 32604758 9338319 16646691 15138441 
Convert Between a File Path and a URL:	3631670 3631667 6164524 32557217 20098130 2717696 6164541 2789456 37945971 40895606 
Compare the contents of two Streams to determine if they are equal or not:	46728479 40008027 48590490 7819620 45979203 34818800 10976656 33227728 15354054 22281531 
Load image from local folder:	14819556 18455062 21288533 8113877 15992722 21758931 1242670 7894297 10897315 32117990 
Connect to a SQLite database:	12443856 2839332 12385781 10737687 19398975 43149999 13370067 4917877 47899401 23154161 
How to download a complete folder from a FTP server:	2404783 19860327 23768745 44317591 4322315 14467304 28874394 11204013 47408280 14200254 
Generate random integer:	901706 8236141 8236137 3709587 45685145 2627801 7219072 49421021 17415882 25875752 
How do I format a number with leading zeros?:	4377337 2705130 2555938 2556241 33678358 37272184 2705099 3150343 33286689 31375169 
How do I ping a host?:	8816971 29460716 14110872 18030305 11506847 19315562 11704715 36778903 32637531 8815119 
Reads a text file and displays it line by line:	36657062 9857707 19492227 43743544 12886662 9857723 7869196 3856055 37774176 32170269 
How do I pause the current thread?:	19552281 26196010 1538514 4801363 20737865 12060120 5843123 16014593 26764859 17575086 
Java Program to display first 100 prime numbers:	34080304 22554500 39179811 22554613 28970343 20333700 14859083 45777911 46878248 32665302 
Java Program to find ASCII value of a character:	39705224 37431302 17637848 16458601 27996506 16458684 14066594 19645907 44136346 41518057 
Find maximum element of ArrayList:	41691149 41691172 19546722 24352857 39253962 24352786 12053565 41691229 16840396 13756350 
Write lines of text to file using a PrintWriter:	15727263 40884918 21549464 17623058 49870744 49655398 9919496 20509123 9919216 12795690 
How do I get the last element of SortedSet?:	8360827 8772337 1846583 9616782 14888016 22367002 35123793 6460391 33100544 35122576 
Load an Image from a JAR file:	4597392 14098988 7670789 2927355 592745 20227910 31146 23541194 13147429 7963284 
Java Program to find Factorial of a number using Recursion:	11447287 36123426 35567627 40662752 15808283 26911516 31636717 8992656 29550283 35072776 
Java Program to Check Even or Odd Number:	45789981 46877958 46878248 49252788 28259298 22509001 33796298 5709205 42053332 14859083 
How do I convert number into Roman Numerals?:	29212316 20313341 17479367 9073310 5979957 12968022 29218799 19941430 30192065 20313302 
Java Program to check Prime Number:	46878248 46877958 32786799 14859083 28970343 22509001 42053332 34007819 20333700 45777911 
How do I open a file using the default registered application?:	27477125 9935218 16949751 17369911 10620409 9753148 11106510 16002972 390779 10621406 
